Start Station Key,Station Name,Station Geometry,Total_x,Total_y,diff,bike-out more than bike-in
153,Evans Ave & 75th St,POINT (-87.60641 41.75849),105.0,98.0,7.0,True
154,Cottage Grove Ave & 83rd St,POINT (-87.60483599999999 41.743441),194.0,208.0,-14.0,False
155,Cottage Grove Ave & 71st St,POINT (-87.60495971299999 41.765719037),61.0,57.0,4.0,True
156,Woodlawn Ave & 75th St,POINT (-87.59575100000001 41.75915999999999),59.0,48.0,11.0,True
157,State St & 79th St,POINT (-87.624424 41.750794),177.0,172.0,5.0,True
158,State St & 76th St,POINT (-87.62462099999999 41.756971),47.0,36.0,11.0,True
159,Stony Island Ave & 75th St,POINT (-87.586882871 41.75866967),226.0,283.0,-57.0,False
160,Calumet Ave & 71st St,POINT (-87.616917925 41.765508006),134.0,138.0,-4.0,False
161,Ellis Ave & 53rd St,POINT (-87.600958115 41.799336263),2829.0,2710.0,119.0,True
162,Lake Park Ave & 53rd St,POINT (-87.586449896 41.799494294),3644.0,3703.0,-59.0,False
163,Kimbark Ave & 53rd St,POINT (-87.594747 41.799568),5445.0,5568.0,-123.0,False
164,Prairie Ave & Garfield Blvd,POINT (-87.618691 41.794853),388.0,396.0,-8.0,False
165,Cottage Grove Ave & 51st St,POINT (-87.60661500000001 41.803038),1304.0,1318.0,-14.0,False
166,Lake Park Ave & 47th St,POINT (-87.591875 41.809443),2000.0,1981.0,19.0,True
167,Cornell Ave & Hyde Park Blvd,POINT (-87.586924 41.802406),5415.0,5326.0,89.0,True
168,Woodlawn Ave & 55th St,POINT (-87.59647099999999 41.795264),2484.0,2404.0,80.0,True
169,Blackstone Ave & Hyde Park Blvd,POINT (-87.59036800000001 41.802562),3490.0,3357.0,133.0,True
170,Dorchester Ave & 49th St,POINT (-87.59246400000001 41.805772),857.0,822.0,35.0,True
171,Calumet Ave & 51st St,POINT (-87.61805357999999 41.802294651),678.0,693.0,-15.0,False
172,Hoyne Ave & Balmoral Ave,POINT (-87.68193199999999 41.979851),758.0,896.0,-138.0,False
173,Damen Ave & Sunnyside Ave,POINT (-87.67925799999999 41.96325),2069.0,1997.0,72.0,True
174,Lincoln Ave & Sunnyside Ave,POINT (-87.684781 41.963004),3368.0,3451.0,-83.0,False
