station_key,station_name,station_dock_in_service,station_geometry,Ridership_per_Dock,longitude,latitude
46,Broadway & Thorndale Ave,19,POINT (-87.66014062100001 41.989742511),1.12271751,-87.66014062100001,41.989742511
47,Lakefront Trail & Bryn Mawr Ave,19,POINT (-87.652310469 41.984036696),3.64366273,-87.652310469,41.984036696
48,Broadway & Granville Ave,23,POINT (-87.660284535 41.994779688),1.35093168,-87.660284535,41.994779688
49,Damen Ave & Walnut (Lake) St,15,POINT (-87.677009 41.885951),0.29387755,-87.677009,41.885951
50,Kedzie Ave & Chicago Ave,11,POINT (-87.706127884 41.895465303),0.36502783,-87.706127884,41.895465303
51,Smith Park,15,POINT (-87.689397 41.892048),0.29829932,-87.689397,41.892048
52,Western Ave & Fillmore St,11,POINT (-87.686234 41.868563),0.91512059,-87.686234,41.868563
53,Damen Ave & Chicago Ave,19,POINT (-87.67721999999999 41.895769),1.65494092,-87.67721999999999,41.895769
54,Damen Ave & Madison St,15,POINT (-87.67493 41.88137),0.41394558,-87.67493,41.88137
55,Ashland Ave & Lake St,19,POINT (-87.66717 41.88592),0.54001074,-87.66717,41.88592
56,Wood St & Taylor St (Temp),23,POINT (-87.67373085 41.869265218),0.81832298,-87.67373085,41.869265218
57,Leavitt St & Chicago Ave,15,POINT (-87.682017 41.895501),0.98707483,-87.682017,41.895501
58,Fairfield Ave & Roosevelt Rd,11,POINT (-87.69452099999999 41.866624),0.15955473,-87.69452099999999,41.866624
59,Hermitage Ave & Polk St,15,POINT (-87.66988600000001 41.871514),0.96292517,-87.66988600000001,41.871514
60,Wolcott Ave & Polk St,22,POINT (-87.673688 41.871262),1.20454545,-87.673688,41.871262
61,Paulina St & Flournoy St,31,POINT (-87.66913000000001 41.87295),0.7564187,-87.66913000000001,41.87295
62,Ogden Ave & Congress Pkwy,15,POINT (-87.67328000000001 41.87501),0.37380952,-87.67328000000001,41.87501
63,Malcolm X College,19,POINT (-87.673895 41.877618),0.1670247,-87.673895,41.877618
64,California Ave & Lake St,11,POINT (-87.69629813700001 41.884453957),0.22541744,-87.69629813700001,41.884453957
65,Sacramento Blvd & Franklin Blvd,11,POINT (-87.70260751200001 41.890468792),0.15538033,-87.70260751200001,41.890468792
66,Western Ave & Monroe St,15,POINT (-87.68611280799999 41.879787709),0.51020408,-87.68611280799999,41.879787709
67,Artesian Ave & Hubbard St,35,POINT (-87.68821936499999 41.88949182),0.22230321,-87.68821936499999,41.88949182
68,Western Ave & Congress Pkwy,19,POINT (-87.686445276 41.874748851),0.50993555,-87.686445276,41.874748851
69,Kedzie Ave & Harrison St,11,POINT (-87.70487074899999 41.873599675),0.07606679,-87.70487074899999,41.873599675
70,Ashland Ave & 74th St,15,POINT (-87.663474083 41.759236024),0.00782313,-87.663474083,41.759236024
71,Ashland Ave & 66th St,7,POINT (-87.663815 41.774074),0.03790087,-87.663815,41.774074
72,Damen Ave & 59th St,11,POINT (-87.67416700000001 41.78602),0.05519481,-87.67416700000001,41.78602
73,Ashland Ave & Garfield Blvd,11,POINT (-87.664429 41.79282199999999),0.05473098,-87.664429,41.79282199999999
74,Marshfield Ave & 59th St,11,POINT (-87.66621500000001 41.786833),0.01530612,-87.66621500000001,41.786833
75,Ashland Ave & 63rd St,11,POINT (-87.664843 41.779374),0.03617811,-87.664843,41.779374
76,Elizabeth St & 59th St,7,POINT (-87.65585899999999 41.786691),0.01676385,-87.65585899999999,41.786691
77,Stewart Ave & 63rd St,11,POINT (-87.63477399999999 41.779835),0.02922078,-87.63477399999999,41.779835
78,Carpenter St & 63rd St,7,POINT (-87.65091899999999 41.77987),0.01530612,-87.65091899999999,41.77987
79,Eggleston Ave & 69th St,11,POINT (-87.635876 41.768898),0.04128015,-87.635876,41.768898
