End Station Key,Station Name (Dim Station1),Station Geometry (Dim Station1),Morning,Afternoon,Evening,Night
54,Damen Ave & Madison St,POINT (-87.67493 41.88137),292,368,407,156
55,Ashland Ave & Lake St,POINT (-87.66717 41.88592),439,729,780,107
56,Wood St & Taylor St (Temp),POINT (-87.67373085 41.869265218),1969,732,403,148
57,Leavitt St & Chicago Ave,POINT (-87.682017 41.895501),323,993,1389,195
58,Fairfield Ave & Roosevelt Rd,POINT (-87.69452099999999 41.866624),62,92,141,96
59,Hermitage Ave & Polk St,POINT (-87.66988600000001 41.871514),1734,592,315,143
60,Wolcott Ave & Polk St,POINT (-87.673688 41.871262),2783,1087,671,242
61,Paulina St & Flournoy St,POINT (-87.66913000000001 41.87295),2620,725,337,207
62,Ogden Ave & Congress Pkwy,POINT (-87.67328000000001 41.87501),546,199,147,105
63,Malcolm X College,POINT (-87.673895 41.877618),226,114,171,75
64,California Ave & Lake St,POINT (-87.69629813700001 41.884453957),105,178,181,40
65,Sacramento Blvd & Franklin Blvd,POINT (-87.70260751200001 41.890468792),174,96,74,13
66,Western Ave & Monroe St,POINT (-87.68611280799999 41.879787709),222,546,764,116
67,Artesian Ave & Hubbard St,POINT (-87.68821936499999 41.88949182),301,551,432,98
68,Western Ave & Congress Pkwy,POINT (-87.686445276 41.874748851),298,603,853,201
69,Kedzie Ave & Harrison St,POINT (-87.70487074899999 41.873599675),26,92,50,20
70,Ashland Ave & 74th St,POINT (-87.663474083 41.759236024),1,9,12,1
71,Ashland Ave & 66th St,POINT (-87.663815 41.774074),4,8,15,15
72,Damen Ave & 59th St,POINT (-87.67416700000001 41.78602),8,25,37,58
73,Ashland Ave & Garfield Blvd,POINT (-87.664429 41.79282199999999),17,45,41,6
74,Marshfield Ave & 59th St,POINT (-87.66621500000001 41.786833),5,8,5,3
75,Ashland Ave & 63rd St,POINT (-87.664843 41.779374),15,20,34,13
76,Elizabeth St & 59th St,POINT (-87.65585899999999 41.786691),9,12,5,2
77,Stewart Ave & 63rd St,POINT (-87.63477399999999 41.779835),15,23,16,11
78,Carpenter St & 63rd St,POINT (-87.65091899999999 41.77987),4,8,4,2
79,Eggleston Ave & 69th St,POINT (-87.635876 41.768898),16,20,37,22
80,Halsted St & 73rd St,POINT (-87.64416097700001 41.761605438),6,11,7,11
81,May St & 69th St,POINT (-87.652934 41.768938),9,18,16,5
82,Racine Ave & 65th St,POINT (-87.654308 41.775393),5,16,27,12
83,Halsted St & 59th St,POINT (-87.644874 41.787539),10,16,23,12
84,Racine Ave & 61st St,POINT (-87.654372 41.783189),1,6,9,1
85,Halsted St & 56th St,POINT (-87.644990057 41.792929646),14,12,23,16
86,Halsted St & 63rd St,POINT (-87.644620815 41.779381142),33,76,43,42
87,Wentworth Ave & 63rd St,POINT (-87.629746305 41.780079633),37,30,40,15
88,Halsted St & 69th St,POINT (-87.64461357799999 41.76906172),8,25,20,15
89,Perry Ave & 69th St,POINT (-87.628195929 41.76929309),40,40,30,21
90,Oglesby Ave & 100th St,POINT (-87.565841675 41.713397484),4,15,17,10
92,East End Ave & 87th St,POINT (-87.58280128200001 41.736815214),18,12,8,6
93,Baltimore Ave & 87th St,POINT (-87.54851460499999 41.7373356),9,22,27,5
94,Ewing Ave & Burnham Greenway,POINT (-87.53481388100001 41.712748761),,6,4,
95,Houston Ave & 92nd St,POINT (-87.549700141 41.728204215),11,28,19,8
96,Big Marsh Park,POINT (-87.573823929 41.685877056),7,14,12,
97,Marquette Ave & 89th St,POINT (-87.55834221799999 41.733668791),14,12,10,3
98,Bradley Park,POINT (-87.564591765 41.717878302),1,,3,
99,Torrence Ave & 106th St,POINT (-87.559726238 41.70280085),1,5,5,
100,Clyde Ave & 87th St,POINT (-87.57274031600001 41.737151464),1,4,2,1
101,Constance Ave & 95th St,POINT (-87.578968406 41.722290741),1,7,8,4
102,Avenue O & 118th St,POINT (-87.53793122299999 41.681001459),,2,3,1
103,Burnham Greenway & 105th St,POINT (-87.52823174 41.70457508699999),,16,4,1
104,Phillips Ave & 83rd St,POINT (-87.56506 41.744531),44,61,61,12
105,Exchange Ave & 79th St,POINT (-87.552812 41.751731),24,44,68,20
106,Stony Island Ave & South Chicago Ave,POINT (-87.585337 41.751173),38,34,35,25
