Start Station Key,Station Name,Station Geometry,Morning,Afternoon,Evening,Night
269,Sheffield Ave & Fullerton Ave,POINT (-87.65370804200001 41.925601882),1271,2555,2271,626
270,Lincoln Park Conservatory,POINT (-87.635824531 41.923931311),1678,3825,3205,616
272,Clark St & Newport St,POINT (-87.654678 41.94454),1463,2687,3333,1162
273,Southport Ave & Belmont Ave,POINT (-87.663747668 41.93947775),1245,1959,1946,532
274,Broadway & Barry Ave,POINT (-87.644097805 41.937582316),4326,6085,6715,1106
275,Lake Shore Dr & Belmont Ave,POINT (-87.63919200000001 41.940775),3391,5536,5380,887
276,Broadway & Belmont Ave,POINT (-87.64545099999999 41.940106),2160,3623,3623,788
277,Broadway & Cornelia Ave,POINT (-87.646439 41.945529),3423,4657,4686,1179
278,Wilton Ave & Belmont Ave,POINT (-87.65304 41.94018),2785,4871,4952,1178
279,Sheffield Ave & Wellington Ave,POINT (-87.65266200000001 41.936266),2457,3466,3860,966
280,Halsted St & Roscoe St,POINT (-87.64895 41.94367),2270,4232,4526,1541
281,Lincoln Ave & Addison St,POINT (-87.67330799999999 41.946176),432,764,641,157
282,Lincoln Ave & Roscoe St,POINT (-87.67097 41.94334),1821,1954,2090,409
283,Ashland Ave & Wellington Ave,POINT (-87.66980699999999 41.936083),773,1352,1207,207
284,Lincoln Ave & Belmont Ave,POINT (-87.668385 41.939365),1267,2063,2130,353
285,Southport Ave & Roscoe St,POINT (-87.66401999999999 41.943739),2067,4038,3762,804
286,Burling St & Diversey Pkwy,POINT (-87.64775999999999 41.93314),1838,2795,3160,442
287,Southport Ave & Wellington Ave,POINT (-87.66357600000001 41.935733),1380,2570,2243,512
288,Racine Ave & Belmont Ave,POINT (-87.65886500000001 41.939743),1526,2360,2667,740
289,Clark St & Wellington Ave,POINT (-87.64753865799999 41.936496822),2654,4474,4169,731
290,Greenview Ave & Diversey Pkwy,POINT (-87.665936351 41.932589634),794,1141,1086,277
291,Lake Shore Dr & Wellington Ave,POINT (-87.63682901899999 41.936688449),3905,6672,6482,684
292,Bernard St & Elston Ave,POINT (-87.713949 41.949923),95,184,150,12
293,Leavitt St & Belmont Ave,POINT (-87.68328199999999 41.93935399999999),356,532,582,107
294,Albany Ave & Montrose Ave,POINT (-87.705866 41.96104099999999),348,513,416,76
295,Drake Ave & Addison St,POINT (-87.71758199999999 41.947326),60,146,140,18
296,California Ave & Montrose Ave,POINT (-87.69543900000001 41.961068),677,1052,995,81
297,Western Ave & Roscoe St,POINT (-87.687288 41.943034),323,787,596,95
298,Kimball Ave & Belmont Ave,POINT (-87.711561 41.939398),237,553,459,80
299,Avers Ave & Belmont Ave,POINT (-87.723574 41.939408),204,532,377,80
300,Lincoln Ave & Belle Plaine Ave,POINT (-87.680161446 41.956003551),756,1305,1144,351
301,Damen Ave & Wellington Ave,POINT (-87.67841999999999 41.93588),628,1077,1109,150
302,Seeley Ave & Roscoe St,POINT (-87.679618 41.943403),557,1201,1101,290
303,Leavitt St & Addison St,POINT (-87.683359 41.946655),354,443,437,113
304,Damen Ave & Melrose Ave,POINT (-87.6785 41.9406),476,809,622,121
305,Monticello Ave & Irving Park Rd,POINT (-87.71912818 41.954004839),192,328,281,53
306,Sawyer Ave & Irving Park Rd,POINT (-87.7093108 41.953586179),211,384,279,71
307,Oakley Ave & Irving Park Rd,POINT (-87.686079624 41.954340852),355,526,433,106
308,California Ave & Byron St,POINT (-87.69805111299999 41.952162193),315,641,634,78
309,Troy St & Elston Ave,POINT (-87.70664990100001 41.945243568),311,461,492,135
310,Talman Ave & Addison St,POINT (-87.69461475799999 41.946635831),204,649,516,168
